t,close
1999-03-10,43.02705764770508
1999-03-11,43.23771667480469
1999-03-12,42.18441390991211
1999-03-15,43.395721435546875
1999-03-16,43.764347076416016
1999-03-17,43.448368072509766
1999-03-18,44.2910041809082
1999-03-19,43.158714294433594
1999-03-22,42.63206481933594
1999-03-23,41.1311149597168
1999-03-24,42.52674102783203
1999-03-25,44.08035659790039
1999-03-26,43.60636520385742
1999-03-29,45.186302185058594
1999-03-30,44.87031936645508
1999-03-31,44.21200942993164
1999-04-01,45.1336555480957
1999-04-05,46.76625442504883
1999-04-06,46.85841751098633
1999-04-07,46.371253967285156
1999-04-08,46.73991775512695
1999-04-09,47.029579162597656
1999-04-12,46.71358108520508
1999-04-13,46.08161544799805
1999-04-14,44.50165557861328
1999-04-15,45.107330322265625
1999-04-16,43.79069137573242
1999-04-19,41.736759185791016
1999-04-20,42.68473434448242
1999-04-21,44.79133605957031
1999-04-22,46.00260925292969
1999-04-23,46.60824966430664
1999-04-26,47.68128204345703
1999-04-27,46.95056915283203
1999-04-28,45.34429168701172
1999-04-29,44.97563934326172
1999-04-30,45.26530838012695
1999-05-03,45.0283203125
1999-05-04,44.31734848022461
1999-05-05,45.66028594970703
1999-05-06,44.00135803222656
1999-05-07,44.633331298828125
1999-05-10,45.08098220825195
1999-05-11,45.79195785522461
1999-05-12,46.73991775512695
1999-05-13,45.87092590332031
1999-05-14,45.00199508666992
1999-05-17,45.81172180175781
1999-05-18,45.60763168334961
1999-05-19,46.23959732055664
1999-05-20,44.96905517578125
1999-05-21,44.554325103759766
1999-05-24,43.42203903198242
1999-05-25,42.00010299682617
1999-05-26,43.1718864440918
1999-05-27,43.13236999511719
1999-05-28,43.843360900878906
1999-06-01,42.86906051635742
1999-06-02,43.59319305419922
1999-06-03,42.97438430786133
1999-06-04,44.2910041809082
1999-06-07,45.21263885498047
1999-06-08,44.08035659790039
1999-06-09,44.817665100097656
1999-06-10,44.30419158935547
1999-06-11,43.63270568847656
1999-06-14,42.80980682373047
1999-06-15,43.448368072509766
1999-06-16,45.680030822753906
1999-06-17,46.18695068359375
1999-06-18,46.397605895996094
1999-06-21,47.786617279052734
1999-06-22,46.34492874145508
1999-06-23,47.075660705566406
1999-06-24,46.14084243774414
1999-06-25,46.08161544799805
1999-06-28,47.174407958984375
1999-06-29,47.81953811645508
1999-06-30,48.556846618652344
1999-07-01,48.886009216308594
1999-07-02,49.504798889160156
1999-07-06,49.18881607055664
1999-07-07,49.267818450927734
1999-07-08,49.9261474609375
1999-07-09,50.426448822021484
1999-07-12,50.16313552856445
1999-07-13,49.9261474609375
1999-07-14,50.77536392211914
1999-07-15,51.24274444580078
1999-07-16,51.71674728393555
1999-07-19,51.19008255004883
1999-07-20,49.215179443359375
1999-07-21,49.4521598815918
1999-07-22,48.194786071777344
1999-07-23,48.26718521118164
1999-07-26,47.08222961425781
1999-07-27,48.03021240234375
1999-07-28,48.971588134765625
1999-07-29,47.92487335205078
1999-07-30,47.68788146972656
1999-08-02,47.556217193603516
1999-08-03,47.2468147277832
1999-08-04,46.39100646972656
1999-08-05,47.12831497192383
1999-08-06,46.621421813964844
1999-08-09,46.022361755371094
1999-08-10,45.60763168334961
1999-08-11,47.10857391357422
1999-08-12,46.555580139160156
1999-08-13,48.583187103271484
1999-08-16,48.971588134765625
1999-08-17,49.215179443359375
1999-08-18,48.66217041015625
1999-08-19,48.08285140991211
1999-08-20,48.84649658203125
1999-08-23,50.40010452270508
1999-08-24,50.74243927001953
1999-08-25,51.822052001953125
1999-08-26,50.95966720581055
1999-08-27,50.45278549194336
1999-08-30,49.74180221557617
1999-08-31,50.294761657714844
1999-09-01,50.65685272216797
1999-09-02,50.47911071777344
1999-09-03,52.796356201171875
1999-09-07,52.55937957763672
1999-09-08,51.84840393066406
1999-09-09,52.5857048034668
1999-09-10,53.19132995605469
1999-09-13,52.55276107788086
1999-09-14,52.84246063232422
1999-09-15,51.822052001953125
1999-09-16,51.79572296142578
1999-09-17,53.34933853149414
1999-09-20,53.47441864013672
1999-09-21,52.190711975097656
1999-09-22,52.743690490722656
1999-09-23,50.55811309814453
1999-09-24,50.62394332885742
1999-09-27,50.979408264160156
1999-09-28,51.21642303466797
1999-09-29,50.189456939697266
1999-09-30,50.71609115600586
1999-10-01,50.73584747314453
1999-10-04,51.87472152709961
1999-10-05,52.24337387084961
1999-10-06,53.29009246826172
1999-10-07,53.16501235961914
1999-10-08,53.724571228027344
1999-10-11,54.48161697387695
1999-10-12,53.24399948120117
1999-10-13,51.66405487060547
1999-10-14,51.986637115478516
1999-10-15,50.45278549194336
1999-10-18,49.8142204284668
1999-10-19,50.08412170410156
1999-10-20,51.611392974853516
1999-10-21,52.45404052734375
1999-10-22,52.2170524597168
1999-10-25,52.24337387084961
1999-10-26,51.822052001953125
1999-10-27,51.74306106567383
1999-10-28,53.533653259277344
1999-10-29,55.40324401855469
1999-11-01,55.113609313964844
1999-11-02,55.146507263183594
1999-11-03,56.245887756347656
1999-11-04,56.87788009643555
1999-11-05,57.457191467285156
1999-11-08,58.61581039428711
1999-11-09,58.22081756591797
1999-11-10,58.98445129394531
1999-11-11,60.03775405883789
1999-11-12,60.82771301269531
1999-11-15,60.70922088623047
1999-11-16,62.24968338012695
1999-11-17,61.407039642333984
1999-11-18,63.28977584838867
1999-11-19,63.85592269897461
1999-11-22,62.88166046142578
1999-11-23,63.17132568359375
1999-11-24,65.25154113769531
1999-11-26,65.46222686767578
1999-11-29,64.38258361816406
1999-11-30,61.93367004394531
1999-12-01,63.27662658691406
1999-12-02,65.28447723388672
1999-12-03,66.6734848022461
1999-12-06,67.2791519165039
1999-12-07,67.2791519165039
1999-12-08,66.46282196044922
1999-12-09,66.77883911132812
1999-12-10,67.33179473876953
1999-12-13,68.24687957763672
1999-12-14,67.01583099365234
1999-12-15,68.30609130859375
1999-12-16,69.9913558959961
1999-12-17,70.59703063964844
1999-12-20,71.51864624023438
1999-12-21,75.36316680908203
1999-12-22,75.1261978149414
1999-12-23,76.02149200439453
1999-12-27,75.57382202148438
1999-12-28,75.09983825683594
1999-12-29,77.94374084472656
1999-12-30,77.10112762451172
1999-12-31,76.99577331542969
2000-01-03,79.83969116210938
2000-01-04,74.36255645751953
2000-01-05,72.46663665771484
2000-01-06,67.48982238769531
2000-01-07,75.83717346191406
2000-01-10,77.94374084472656
2000-01-11,74.15187072753906
2000-01-12,72.51927185058594
2000-01-13,76.89047241210938
2000-01-14,78.68103790283203
2000-01-18,79.10233306884766
2000-01-19,80.89295959472656
2000-01-20,80.10301208496094
2000-01-21,81.10364532470703
2000-01-24,77.2064437866211
2000-01-25,78.36508178710938
2000-01-26,75.20520782470703
2000-01-27,76.3111572265625
2000-01-28,72.46663665771484
2000-01-31,75.57382202148438
2000-02-01,77.60144805908203
2000-02-02,78.2597427368164
2000-02-03,81.31428527832031
2000-02-04,81.86725616455078
2000-02-07,82.99954223632812
2000-02-08,86.47543334960938
2000-02-09,83.42086791992188
2000-02-10,86.15945434570312
2000-02-11,84.15812683105469
